testcase, useOMP(1/0), time, threadsnum, collapse
0, 0, 0.000966, 1, 0
0, 1, 0.001025, 1, 1
0, 1, 0.001030, 1, 2
0, 1, 0.001356, 1, 3
0, 1, 0.000521, 2, 1
0, 1, 0.000523, 2, 2
0, 1, 0.000477, 2, 3
0, 1, 0.000711, 3, 1
0, 1, 0.000708, 3, 2
0, 1, 0.000648, 3, 3
0, 1, 0.000546, 4, 1
0, 1, 0.000563, 4, 2
0, 1, 0.000499, 4, 3
0, 1, 0.000643, 5, 1
0, 1, 0.000645, 5, 2
0, 1, 0.000590, 5, 3
0, 1, 0.000575, 6, 1
0, 1, 0.000556, 6, 2
0, 1, 0.000515, 6, 3
0, 1, 0.000635, 7, 1
0, 1, 0.000632, 7, 2
0, 1, 0.000582, 7, 3
0, 1, 0.000594, 8, 1
0, 1, 0.000597, 8, 2
0, 1, 0.000531, 8, 3
0, 1, 0.000635, 9, 1
0, 1, 0.000689, 9, 2
0, 1, 0.000580, 9, 3
0, 1, 0.000594, 10, 1
0, 1, 0.000587, 10, 2
0, 1, 0.000545, 10, 3
0, 1, 0.000630, 11, 1
0, 1, 0.000640, 11, 2
0, 1, 0.000576, 11, 3
0, 1, 0.000599, 12, 1
0, 1, 0.000597, 12, 2
0, 1, 0.000592, 12, 3
0, 1, 0.000633, 13, 1
0, 1, 0.000633, 13, 2
0, 1, 0.000587, 13, 3
0, 1, 0.000613, 14, 1
0, 1, 0.000613, 14, 2
0, 1, 0.000583, 14, 3
0, 1, 0.000634, 15, 1
0, 1, 0.000638, 15, 2
0, 1, 0.000598, 15, 3
0, 1, 0.000622, 16, 1
0, 1, 0.000620, 16, 2
0, 1, 0.000581, 16, 3
0, 1, 0.000644, 17, 1
0, 1, 0.000627, 17, 2
0, 1, 0.000585, 17, 3
0, 1, 0.000642, 18, 1
0, 1, 0.000642, 18, 2
0, 1, 0.000590, 18, 3
0, 1, 0.000644, 19, 1
0, 1, 0.000643, 19, 2
0, 1, 0.000598, 19, 3
0, 1, 0.000645, 20, 1
0, 1, 0.000648, 20, 2
0, 1, 0.000588, 20, 3
0, 1, 0.000674, 21, 1
0, 1, 0.000648, 21, 2
0, 1, 0.000608, 21, 3
0, 1, 0.000668, 22, 1
0, 1, 0.000663, 22, 2
0, 1, 0.000622, 22, 3
0, 1, 0.000670, 23, 1
0, 1, 0.000653, 23, 2
0, 1, 0.000622, 23, 3
0, 1, 0.000667, 24, 1
0, 1, 0.000665, 24, 2
0, 1, 0.000632, 24, 3
0, 1, 0.000683, 25, 1
0, 1, 0.000666, 25, 2
0, 1, 0.000610, 25, 3
0, 1, 0.000683, 26, 1
0, 1, 0.000670, 26, 2
0, 1, 0.000639, 26, 3
0, 1, 0.000679, 27, 1
0, 1, 0.000680, 27, 2
0, 1, 0.000645, 27, 3
0, 1, 0.000689, 28, 1
0, 1, 0.000679, 28, 2
0, 1, 0.000637, 28, 3
0, 1, 0.000691, 29, 1
0, 1, 0.000689, 29, 2
0, 1, 0.000655, 29, 3
0, 1, 0.000698, 30, 1
0, 1, 0.000693, 30, 2
0, 1, 0.000646, 30, 3
0, 1, 0.000719, 31, 1
0, 1, 0.000699, 31, 2
0, 1, 0.000655, 31, 3
0, 1, 0.000718, 32, 1
0, 1, 0.000705, 32, 2
0, 1, 0.000662, 32, 3
0, 1, 0.000709, 33, 1
0, 1, 0.000701, 33, 2
0, 1, 0.000663, 33, 3
0, 1, 0.000714, 34, 1
0, 1, 0.000708, 34, 2
0, 1, 0.000661, 34, 3
0, 1, 0.000736, 35, 1
0, 1, 0.000715, 35, 2
0, 1, 0.000682, 35, 3
0, 1, 0.000726, 36, 1
0, 1, 0.000732, 36, 2
0, 1, 0.000684, 36, 3
0, 1, 0.000740, 37, 1
0, 1, 0.000727, 37, 2
0, 1, 0.000681, 37, 3
0, 1, 0.000755, 38, 1
0, 1, 0.000738, 38, 2
0, 1, 0.000689, 38, 3
0, 1, 0.000749, 39, 1
0, 1, 0.000747, 39, 2
0, 1, 0.000702, 39, 3
0, 1, 0.000752, 40, 1
0, 1, 0.000748, 40, 2
