schedule, loop, time
static, 1, 0.999064
guided, 1, 0.998443
dynamic, 1, 2.302300
static, 2, 1.498645
guided, 2, 1.498816
dynamic, 2, 1.499197
static, 3, 1.532397
guided, 3, 1.500221
dynamic, 3, 2.998849
static, 4, 5.498758
guided, 4, 5.498647
dynamic, 4, 3.998695
static, 5, 6.004042
guided, 5, 5.998958
dynamic, 5, 5.998743
static, 6, 11.998966
guided, 6, 7.498939
dynamic, 6, 7.499220
static, 7, 12.999213
guided, 7, 11.502539
dynamic, 7, 9.999194
static, 8, 20.999003
guided, 8, 10.499611
dynamic, 8, 11.999571
static, 9, 22.499510
guided, 9, 13.500406
dynamic, 9, 14.999794
static, 10, 33.435324
guided, 10, 24.100781
dynamic, 10, 23.222465
static, 11, 39.927586
guided, 11, 26.653109
dynamic, 11, 27.102336
static, 12, 52.617032
guided, 12, 32.136912
dynamic, 12, 32.691841
static, 13, 55.724217
guided, 13, 38.569728
dynamic, 13, 36.775736
static, 14, 70.113504
guided, 14, 27.064096
dynamic, 14, 31.512856
static, 15, 66.009791
guided, 15, 34.504892
dynamic, 15, 36.005070
static, 16, 82.001346
guided, 16, 41.508881
dynamic, 16, 40.005289
static, 17, 85.501438
guided, 17, 42.009053
dynamic, 17, 45.007185
static, 18, 103.504821
guided, 18, 55.506612
dynamic, 18, 49.507240
static, 19, 107.527825
guided, 19, 58.003955
dynamic, 19, 55.006962
static, 20, 127.505799
guided, 20, 54.008503
dynamic, 20, 60.007947
